x,Async / Await
2016-01-1,255.333333333
2016-01-2,265.685393258
2016-01-3,288.725
2016-01-4,192.363636364
2016-01-5,139.37037037
2016-01-6,1075
2016-01-7,314.5
2016-01-8,189.325301205
2016-01-9,311.659574468
2016-01-10,391.714285714
2016-01-11,332.780898876
2016-01-12,295.434782609
2016-01-13,264.50877193
2016-01-14,254.48
2016-01-15,458.714285714
2016-01-16,657.4
2016-01-17,115.906976744
2016-01-18,346.8
2016-01-19,423.052631579
2016-01-20,199.75
2016-01-21,785.6
2016-01-22,288.555555556
2016-01-23,58.2
2016-01-24,691.7
2016-01-25,138.142857143
2016-01-26,611.833333333
2016-01-27,478.142857143
2016-01-28,220.8
2016-01-29,472.5
2016-01-30,502
2016-01-31,376.333333333
2016-01-32,321.111111111
