x,Pokedex 
2016-01-1,78.4736842105
2016-01-2,157.162583519
2016-01-3,166.041666667
2016-01-4,154.518518519
2016-01-5,141.528301887
2016-01-6,131.363636364
2016-01-7,141.5
2016-01-8,476.25
2016-01-9,275.588235294
2016-01-10,314.264705882
2016-01-11,113.307692308
2016-01-12,259.25
2016-01-13,303.6
2016-01-14,100.6
2016-01-15,345
2016-01-16,577.666666667
2016-01-17,0
2016-01-18,142.571428571
2016-01-19,15.3333333333
2016-01-20,62.9230769231
2016-01-21,0
2016-01-22,0
2016-01-23,222.7
2016-01-24,30
2016-01-25,29
2016-01-26,68.5
2016-01-27,735.5
2016-01-28,20
2016-01-29,0
2016-01-30,0
2016-01-31,0
